epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,24088.2,0.88052,0.58273,1.20418,0.87237,0.77983,0.86718,0.60238,1.11048,0.73265,1.49219,0.0058915,0.0058915,0.0058915
168,24125.6,0.84872,0.57357,1.19101,0.83209,0.78296,0.85363,0.59323,1.11938,0.78596,1.50704,0.00586675,0.00586675,0.00586675
169,24162.9,0.86248,0.57279,1.19288,0.85825,0.79054,0.86141,0.59929,1.13052,0.75822,1.5031,0.005842,0.005842,0.005842
170,24200,0.85034,0.56685,1.18856,0.90727,0.76854,0.86898,0.60677,1.11435,0.72304,1.48297,0.00581725,0.00581725,0.00581725
171,24237.3,0.84493,0.56862,1.18247,0.85745,0.80722,0.87466,0.6083,1.10048,0.71954,1.47194,0.0057925,0.0057925,0.0057925
172,24274.3,0.84829,0.56648,1.18478,0.86512,0.77744,0.86229,0.60181,1.10147,0.74359,1.46102,0.00576775,0.00576775,0.00576775
173,24311.8,0.83414,0.5574,1.17672,0.86046,0.78439,0.8628,0.61156,1.08197,0.74107,1.46539,0.005743,0.005743,0.005743
174,24349.1,0.84703,0.57506,1.18659,0.8656,0.78081,0.86821,0.61559,1.09035,0.73035,1.4689,0.00571825,0.00571825,0.00571825
175,24386.2,0.85234,0.56862,1.18227,0.84909,0.80274,0.8795,0.60831,1.10399,0.69743,1.48936,0.0056935,0.0056935,0.0056935
176,24423.5,0.84645,0.5621,1.18434,0.86534,0.79942,0.87343,0.61236,1.11145,0.72227,1.4914,0.00566875,0.00566875,0.00566875
177,24460.9,0.84116,0.55959,1.17716,0.83847,0.81578,0.8769,0.61365,1.10257,0.70795,1.47428,0.005644,0.005644,0.005644
178,24498.1,0.84279,0.56047,1.18541,0.85237,0.80182,0.86423,0.60664,1.09479,0.74405,1.46893,0.00561925,0.00561925,0.00561925
179,24535.3,0.84054,0.56664,1.1941,0.89356,0.77458,0.87465,0.61307,1.115,0.70932,1.47256,0.0055945,0.0055945,0.0055945
